+=====+========+========+========+
|  #  | Cipher | Plain  |  Key   | Proof: Cipher ⊕ Plain = Key
|  14 | KHHLTK | ESKILL | KTKSTT | [011 001 001 100 111 011] ⊕ [000 110 011 010 100 100] = [011 111 011 110 111 111]
|  15 | KHHLTK | ESTELE | KTTLTK | [011 001 001 100 111 011] ⊕ [000 110 111 000 100 000] = [011 111 111 100 111 011]
|  16 | KHHLTK | ESTELI | KTTLTK | [011 001 001 100 111 011] ⊕ [000 110 111 000 100 010] = [011 111 111 100 111 011]
|  17 | KHHLTK | ESTELL | KTTLTT | [011 001 001 100 111 011] ⊕ [000 110 111 000 100 100] = [011 111 111 100 111 111]
|  18 | KHHLTK | ESTERS | KTTLTT | [011 001 001 100 111 011] ⊕ [000 110 111 000 101 110] = [011 111 111 100 111 111]
|  19 | KHHLTK | ESTHER | KTTRTT | [011 001 001 100 111 011] ⊕ [000 110 111 001 000 101] = [011 111 111 101 111 111]
|  20 | KHHLTK | ESTILL | KTTSTT | [011 001 001 100 111 011] ⊕ [000 110 111 010 100 100] = [011 111 111 110 111 111]
|  21 | KHHLTK | ETHERS | KTHLTT | [011 001 001 100 111 011] ⊕ [000 111 001 000 101 110] = [011 111 001 100 111 111]
|  22 | KHHLTK | ETRIER | KTRSTT | [011 001 001 100 111 011] ⊕ [000 111 101 010 000 101] = [011 111 101 110 111 111]
|  23 | KHHLTK | ETTERS | KTTLTT | [011 001 001 100 111 011] ⊕ [000 111 111 000 101 110] = [011 111 111 100 111 111]
|  24 | KHHLTK | HEELER | KHHLTT | [011 001 001 100 111 011] ⊕ [001 000 000 100 000 101] = [011 001 001 100 111 111]
|  25 | KHHLTK | HEISEL | KHKSTT | [011 001 001 100 111 011] ⊕ [001 000 010 110 000 100] = [011 001 011 110 111 111]
|  26 | KHHLTK | HEISHI | KHKSTK | [011 001 001 100 111 011] ⊕ [001 000 010 110 001 010] = [011 001 011 110 111 011]
|  27 | KHHLTK | HEISTS | KHKSTT | [011 001 001 100 111 011] ⊕ [001 000 010 110 111 110] = [011 001 011 110 111 111]
|  28 | KHHLTK | HEKKER | KHKTTT | [011 001 001 100 111 011] ⊕ [001 000 011 011 000 101] = [011 001 011 111 111 111]
|  29 | KHHLTK | HELLER | KHRLTT | [011 001 001 100 111 011] ⊕ [001 000 100 100 000 101] = [011 001 101 100 111 111]
|  30 | KHHLTK | HELLES | KHRLTT | [011 001 001 100 111 011] ⊕ [001 000 100 100 000 110] = [011 001 101 100 111 111]
|  31 | KHHLTK | HELSIE | KHRSTK | [011 001 001 100 111 011] ⊕ [001 000 100 110 010 000] = [011 001 101 110 111 011]
|  32 | KHHLTK | HERILE | KHRSTK | [011 001 001 100 111 011] ⊕ [001 000 101 010 100 000] = [011 001 101 110 111 011]
|  33 | KHHLTK | HERRLE | KHRRTK | [011 001 001 100 111 011] ⊕ [001 000 101 101 100 000] = [011 001 101 101 111 011]
|  34 | KHHLTK | HERSIR | KHRSTT | [011 001 001 100 111 011] ⊕ [001 000 101 110 010 101] = [011 001 101 110 111 111]
|  35 | KHHLTK | HERTEL | KHRTTT | [011 001 001 100 111 011] ⊕ [001 000 101 111 000 100] = [011 001 101 111 111 111]
|  36 | KHHLTK | HERTER | KHRTTT | [011 001 001 100 111 011] ⊕ [001 000 101 111 000 101] = [011 001 101 111 111 111]
|  37 | KHHLTK | HESLER | KHTLTT | [011 001 001 100 111 011] ⊕ [001 000 110 100 000 101] = [011 001 111 100 111 111]
|  38 | KHHLTK | HESSEL | KHTSTT | [011 001 001 100 111 011] ⊕ [001 000 110 110 000 100] = [011 001 111 110 111 111]
|  39 | KHHLTK | HESTER | KHTTTT | [011 001 001 100 111 011] ⊕ [001 000 110 111 000 101] = [011 001 111 111 111 111]
|  40 | KHHLTK | HETTER | KHTTTT | [011 001 001 100 111 011] ⊕ [001 000 111 111 000 101] = [011 001 111 111 111 111]
|  41 | KHHLTK | HETTIE | KHTTTK | [011 001 001 100 111 011] ⊕ [001 000 111 111 010 000] = [011 001 111 111 111 011]
|  42 | KHHLTK | HIKERS | KKKLTT | [011 001 001 100 111 011] ⊕ [001 010 011 000 101 110] = [011 011 011 100 111 111]
|  43 | KHHLTK | HILLEL | KKRLTT | [011 001 001 100 111 011] ⊕ [001 010 100 100 000 100] = [011 011 101 100 111 111]
|  44 | KHHLTK | HILLER | KKRLTT | [011 001 001 100 111 011] ⊕ [001 010 100 100 000 101] = [011 011 101 100 111 111]
|  45 | KHHLTK | HILLET | KKRLTT | [011 001 001 100 111 011] ⊕ [001 010 100 100 000 111] = [011 011 101 100 111 111]
|  46 | KHHLTK | HILLIE | KKRLTK | [011 001 001 100 111 011] ⊕ [001 010 100 100 010 000] = [011 011 101 100 111 011]
|  47 | KHHLTK | HILLIS | KKRLTT | [011 001 001 100 111 011] ⊕ [001 010 100 100 010 110] = [011 011 101 100 111 111]
|  48 | KHHLTK | HIRERS | KKRLTT | [011 001 001 100 111 011] ⊕ [001 010 101 000 101 110] = [011 011 101 100 111 111]
|  49 | KHHLTK | HIRSEL | KKRSTT | [011 001 001 100 111 011] ⊕ [001 010 101 110 000 100] = [011 011 101 110 111 111]
|  50 | KHHLTK | HIRSLE | KKRSTK | [011 001 001 100 111 011] ⊕ [001 010 101 110 100 000] = [011 011 101 110 111 011]
|  51 | KHHLTK | HISSEL | KKTSTT | [011 001 001 100 111 011] ⊕ [001 010 110 110 000 100] = [011 011 111 110 111 111]
|  52 | KHHLTK | HISSER | KKTSTT | [011 001 001 100 111 011] ⊕ [001 010 110 110 000 101] = [011 011 111 110 111 111]
|  53 | KHHLTK | HISSES | KKTSTT | [011 001 001 100 111 011] ⊕ [001 010 110 110 000 110] = [011 011 111 110 111 111]
|  54 | KHHLTK | HISTER | KKTTTT | [011 001 001 100 111 011] ⊕ [001 010 110 111 000 101] = [011 011 111 111 111 111]
|  55 | KHHLTK | HISTIE | KKTTTK | [011 001 001 100 111 011] ⊕ [001 010 110 111 010 000] = [011 011 111 111 111 011]
|  56 | KHHLTK | HITHER | KKTRTT | [011 001 001 100 111 011] ⊕ [001 010 111 001 000 101] = [011 011 111 101 111 111]
|  57 | KHHLTK | HITLER | KKTLTT | [011 001 001 100 111 011] ⊕ [001 010 111 100 000 101] = [011 011 111 100 111 111]
|  58 | KHHLTK | HITTEL | KKTTTT | [011 001 001 100 111 011] ⊕ [001 010 111 111 000 100] = [011 011 111 111 111 111]
|  59 | KHHLTK | HITTER | KKTTTT | [011 001 001 100 111 011] ⊕ [001 010 111 111 000 101] = [011 011 111 111 111 111]
|  60 | KHHLTK | IIETTE | KKHTTK | [011 001 001 100 111 011] ⊕ [010 010 000 111 111 000] = [011 011 001 111 111 011]
|  61 | KHHLTK | ILLESS | KRRLTT | [011 001 001 100 111 011] ⊕ [010 100 100 000 110 110] = [011 101 101 100 111 111]
|  62 | KHHLTK | ILLEST | KRRLTT | [011 001 001 100 111 011] ⊕ [010 100 100 000 110 111] = [011 101 101 100 111 111]
|  63 | KHHLTK | ILLISH | KRRSTK | [011 001 001 100 111 011] ⊕ [010 100 100 010 110 001] = [011 101 101 110 111 011]
|  64 | KHHLTK | ILLITE | KRRSTK | [011 001 001 100 111 011] ⊕ [010 100 100 010 111 000] = [011 101 101 110 111 011]
|  65 | KHHLTK | IRISES | KRKSTT | [011 001 001 100 111 011] ⊕ [010 101 010 110 000 110] = [011 101 011 110 111 111]
|  66 | KHHLTK | IRITIS | KRKTTT | [011 001 001 100 111 011] ⊕ [010 101 010 111 010 110] = [011 101 011 111 111 111]
|  67 | KHHLTK | IRRITE | KRRSTK | [011 001 001 100 111 011] ⊕ [010 101 101 010 111 000] = [011 101 101 110 111 011]
|  68 | KHHLTK | IRTISH | KRTSTK | [011 001 001 100 111 011] ⊕ [010 101 111 010 110 001] = [011 101 111 110 111 011]
|  69 | KHHLTK | ISLETS | KTRLTT | [011 001 001 100 111 011] ⊕ [010 110 100 000 111 110] = [011 111 101 100 111 111]
|  70 | KHHLTK | ISSEIS | KTTLTT | [011 001 001 100 111 011] ⊕ [010 110 110 000 010 110] = [011 111 111 100 111 111]
|  71 | KHHLTK | ISSITE | KTTSTK | [011 001 001 100 111 011] ⊕ [010 110 110 010 111 000] = [011 111 111 110 111 011]
|  72 | KHHLTK | ISTLES | KTTLTT | [011 001 001 100 111 011] ⊕ [010 110 111 100 000 110] = [011 111 111 100 111 111]
|  73 | KHHLTK | ITHIEL | KTHSTT | [011 001 001 100 111 011] ⊕ [010 111 001 010 000 100] = [011 111 001 110 111 111]
|  74 | KHHLTK | KEEKER | KHHTTT | [011 001 001 100 111 011] ⊕ [011 000 000 011 000 101] = [011 001 001 111 111 111]
|  75 | KHHLTK | KEELER | KHHLTT | [011 001 001 100 111 011] ⊕ [011 000 000 100 000 101] = [011 001 001 100 111 111]
|  76 | KHHLTK | KEELIE | KHHLTK | [011 001 001 100 111 011] ⊕ [011 000 000 100 010 000] = [011 001 001 100 111 011]
|  77 | KHHLTK | KEERIE | KHHRTK | [011 001 001 100 111 011] ⊕ [011 000 000 101 010 000] = [011 001 001 101 111 011]
|  78 | KHHLTK | KEISER | KHKSTT | [011 001 001 100 111 011] ⊕ [011 000 010 110 000 101] = [011 001 011 110 111 111]
|  79 | KHHLTK | KEITEL | KHKTTT | [011 001 001 100 111 011] ⊕ [011 000 010 111 000 100] = [011 001 011 111 111 111]
|  80 | KHHLTK | KELLER | KHRLTT | [011 001 001 100 111 011] ⊕ [011 000 100 100 000 101] = [011 001 101 100 111 111]
|  81 | KHHLTK | KELLET | KHRLTT | [011 001 001 100 111 011] ⊕ [011 000 100 100 000 111] = [011 001 101 100 111 111]
|  82 | KHHLTK | KELLIE | KHRLTK | [011 001 001 100 111 011] ⊕ [011 000 100 100 010 000] = [011 001 101 100 111 011]
|  83 | KHHLTK | KELTER | KHRTTT | [011 001 001 100 111 011] ⊕ [011 000 100 111 000 101] = [011 001 101 111 111 111]
|  84 | KHHLTK | KELTIE | KHRTTK | [011 001 001 100 111 011] ⊕ [011 000 100 111 010 000] = [011 001 101 111 111 011]
|  85 | KHHLTK | KERITE | KHRSTK | [011 001 001 100 111 011] ⊕ [011 000 101 010 111 000] = [011 001 101 110 111 011]
|  86 | KHHLTK | KERRIE | KHRRTK | [011 001 001 100 111 011] ⊕ [011 000 101 101 010 000] = [011 001 101 101 111 011]
|  87 | KHHLTK | KERRIL | KHRRTT | [011 001 001 100 111 011] ⊕ [011 000 101 101 010 100] = [011 001 101 101 111 111]
|  88 | KHHLTK | KESLIE | KHTLTK | [011 001 001 100 111 011] ⊕ [011 000 110 100 010 000] = [011 001 111 100 111 011]
|  89 | KHHLTK | KESSEL | KHTSTT | [011 001 001 100 111 011] ⊕ [011 000 110 110 000 100] = [011 001 111 110 111 111]
|  90 | KHHLTK | KESTER | KHTTTT | [011 001 001 100 111 011] ⊕ [011 000 110 111 000 101] = [011 001 111 111 111 111]
|  91 | KHHLTK | KETTIE | KHTTTK | [011 001 001 100 111 011] ⊕ [011 000 111 111 010 000] = [011 001 111 111 111 011]
|  92 | KHHLTK | KETTLE | KHTTTK | [011 001 001 100 111 011] ⊕ [011 000 111 111 100 000] = [011 001 111 111 111 011]
|  93 | KHHLTK | KHETHS | KHHTTT | [011 001 001 100 111 011] ⊕ [011 001 000 111 001 110] = [011 001 001 111 111 111]
|  94 | KHHLTK | KIEKIE | KKHTTK | [011 001 001 100 111 011] ⊕ [011 010 000 011 010 000] = [011 011 001 111 111 011]
|  95 | KHHLTK | KIELER | KKHLTT | [011 001 001 100 111 011] ⊕ [011 010 000 100 000 101] = [011 011 001 100 111 111]
|  96 | KHHLTK | KILLER | KKRLTT | [011 001 001 100 111 011] ⊕ [011 010 100 100 000 101] = [011 011 101 100 111 111]
|  97 | KHHLTK | KILLIE | KKRLTK | [011 001 001 100 111 011] ⊕ [011 010 100 100 010 000] = [011 011 101 100 111 011]
|  98 | KHHLTK | KILTER | KKRTTT | [011 001 001 100 111 011] ⊕ [011 010 100 111 000 101] = [011 011 101 111 111 111]
|  99 | KHHLTK | KILTIE | KKRTTK | [011 001 001 100 111 011] ⊕ [011 010 100 111 010 000] = [011 011 101 111 111 011]
| 100 | KHHLTK | KIRKER | KKRTTT | [011 001 001 100 111 011] ⊕ [011 010 101 011 000 101] = [011 011 101 111 111 111]
| 101 | KHHLTK | KIRSTI | KKRSTK | [011 001 001 100 111 011] ⊕ [011 010 101 110 111 010] = [011 011 101 110 111 011]
| 102 | KHHLTK | KIRTLE | KKRTTK | [011 001 001 100 111 011] ⊕ [011 010 101 111 100 000] = [011 011 101 111 111 011]
| 103 | KHHLTK | KISHKE | KKTRTK | [011 001 001 100 111 011] ⊕ [011 010 110 001 011 000] = [011 011 111 101 111 011]
| 104 | KHHLTK | KISSEE | KKTSTK | [011 001 001 100 111 011] ⊕ [011 010 110 110 000 000] = [011 011 111 110 111 011]
| 105 | KHHLTK | KISSEL | KKTSTT | [011 001 001 100 111 011] ⊕ [011 010 110 110 000 100] = [011 011 111 110 111 111]
| 106 | KHHLTK | KISSER | KKTSTT | [011 001 001 100 111 011] ⊕ [011 010 110 110 000 101] = [011 011 111 110 111 111]
| 107 | KHHLTK | KISSES | KKTSTT | [011 001 001 100 111 011] ⊕ [011 010 110 110 000 110] = [011 011 111 110 111 111]
| 108 | KHHLTK | KISSIE | KKTSTK | [011 001 001 100 111 011] ⊕ [011 010 110 110 010 000] = [011 011 111 110 111 011]
| 109 | KHHLTK | KITERS | KKTLTT | [011 001 001 100 111 011] ⊕ [011 010 111 000 101 110] = [011 011 111 100 111 111]
| 110 | KHHLTK | KITHES | KKTRTT | [011 001 001 100 111 011] ⊕ [011 010 111 001 000 110] = [011 011 111 101 111 111]
| 111 | KHHLTK | KITISH | KKTSTK | [011 001 001 100 111 011] ⊕ [011 010 111 010 110 001] = [011 011 111 110 111 011]
| 112 | KHHLTK | KITTEL | KKTTTT | [011 001 001 100 111 011] ⊕ [011 010 111 111 000 100] = [011 011 111 111 111 111]
| 113 | KHHLTK | KITTER | KKTTTT | [011 001 001 100 111 011] ⊕ [011 010 111 111 000 101] = [011 011 111 111 111 111]
| 114 | KHHLTK | KITTIE | KKTTTK | [011 001 001 100 111 011] ⊕ [011 010 111 111 010 000] = [011 011 111 111 111 011]
| 115 | KHHLTK | KITTLE | KKTTTK | [011 001 001 100 111 011] ⊕ [011 010 111 111 100 000] = [011 011 111 111 111 011]
| 116 | KHHLTK | KLEIST | KRHSTT | [011 001 001 100 111 011] ⊕ [011 100 000 010 110 111] = [011 101 001 110 111 111]
| 117 | KHHLTK | KREESE | KRHLTK | [011 001 001 100 111 011] ⊕ [011 101 000 000 110 000] = [011 101 001 100 111 011]
| 118 | KHHLTK | KRILLS | KRKLTT | [011 001 001 100 111 011] ⊕ [011 101 010 100 100 110] = [011 101 011 100 111 111]
| 119 | KHHLTK | KRISES | KRKSTT | [011 001 001 100 111 011] ⊕ [011 101 010 110 000 110] = [011 101 011 110 111 111]
| 120 | KHHLTK | KRISTE | KRKSTK | [011 001 001 100 111 011] ⊕ [011 101 010 110 111 000] = [011 101 011 110 111 011]
| 121 | KHHLTK | KRISTI | KRKSTK | [011 001 001 100 111 011] ⊕ [011 101 010 110 111 010] = [011 101 011 110 111 011]
| 122 | KHHLTK | LEESER | THHSTT | [011 001 001 100 111 011] ⊕ [100 000 000 110 000 101] = [111 001 001 110 111 111]
| 123 | KHHLTK | LEETLE | THHTTK | [011 001 001 100 111 011] ⊕ [100 000 000 111 100 000] = [111 001 001 111 111 011]
| 124 | KHHLTK | LEHRER | THHRTT | [011 001 001 100 111 011] ⊕ [100 000 001 101 000 101] = [111 001 001 101 111 111]
| 125 | KHHLTK | LEISER | THKSTT | [011 001 001 100 111 011] ⊕ [100 000 010 110 000 101] = [111 001 011 110 111 111]
| 126 | KHHLTK | LEITER | THKTTT | [011 001 001 100 111 011] ⊕ [100 000 010 111 000 101] = [111 001 011 111 111 111]
| 127 | KHHLTK | LEKKER | THKTTT | [011 001 001 100 111 011] ⊕ [100 000 011 011 000 101] = [111 001 011 111 111 111]
| 128 | KHHLTK | LELITH | THRSTK | [011 001 001 100 111 011] ⊕ [100 000 100 010 111 001] = [111 001 101 110 111 011]
| 129 | KHHLTK | LERRET | THRRTT | [011 001 001 100 111 011] ⊕ [100 000 101 101 000 111] = [111 001 101 101 111 111]
| 130 | KHHLTK | LESLEE | THTLTK | [011 001 001 100 111 011] ⊕ [100 000 110 100 000 000] = [111 001 111 100 111 011]
| 131 | KHHLTK | LESLIE | THTLTK | [011 001 001 100 111 011] ⊕ [100 000 110 100 010 000] = [111 001 111 100 111 011]
| 132 | KHHLTK | LESSEE | THTSTK | [011 001 001 100 111 011] ⊕ [100 000 110 110 000 000] = [111 001 111 110 111 011]
| 133 | KHHLTK | LESSER | THTSTT | [011 001 001 100 111 011] ⊕ [100 000 110 110 000 101] = [111 001 111 110 111 111]
| 134 | KHHLTK | LESSES | THTSTT | [011 001 001 100 111 011] ⊕ [100 000 110 110 000 110] = [111 001 111 110 111 111]
| 135 | KHHLTK | LESTER | THTTTT | [011 001 001 100 111 011] ⊕ [100 000 110 111 000 101] = [111 001 111 111 111 111]
| 136 | KHHLTK | LETHES | THTRTT | [011 001 001 100 111 011] ⊕ [100 000 111 001 000 110] = [111 001 111 101 111 111]
| 137 | KHHLTK | LETTER | THTTTT | [011 001 001 100 111 011] ⊕ [100 000 111 111 000 101] = [111 001 111 111 111 111]
| 138 | KHHLTK | LETTIE | THTTTK | [011 001 001 100 111 011] ⊕ [100 000 111 111 010 000] = [111 001 111 111 111 011]
| 139 | KHHLTK | LIERRE | TKHRTK | [011 001 001 100 111 011] ⊕ [100 010 000 101 101 000] = [111 011 001 101 111 011]
| 140 | KHHLTK | LIKERS | TKKLTT | [011 001 001 100 111 011] ⊕ [100 010 011 000 101 110] = [111 011 011 100 111 111]
| 141 | KHHLTK | LIKEST | TKKLTT | [011 001 001 100 111 011] ⊕ [100 010 011 000 110 111] = [111 011 011 100 111 111]
| 142 | KHHLTK | LIKKER | TKKTTT | [011 001 001 100 111 011] ⊕ [100 010 011 011 000 101] = [111 011 011 111 111 111]
| 143 | KHHLTK | LILIES | TKRSTT | [011 001 001 100 111 011] ⊕ [100 010 100 010 000 110] = [111 011 101 110 111 111]
| 144 | KHHLTK | LILITH | TKRSTK | [011 001 001 100 111 011] ⊕ [100 010 100 010 111 001] = [111 011 101 110 111 011]
| 145 | KHHLTK | LILLIE | TKRLTK | [011 001 001 100 111 011] ⊕ [100 010 100 100 010 000] = [111 011 101 100 111 011]
| 146 | KHHLTK | LILLIS | TKRLTT | [011 001 001 100 111 011] ⊕ [100 010 100 100 010 110] = [111 011 101 100 111 111]
| 147 | KHHLTK | LISERE | TKTLTK | [011 001 001 100 111 011] ⊕ [100 010 110 000 101 000] = [111 011 111 100 111 011]
| 148 | KHHLTK | LISLES | TKTLTT | [011 001 001 100 111 011] ⊕ [100 010 110 100 000 110] = [111 011 111 100 111 111]
| 149 | KHHLTK | LISSES | TKTSTT | [011 001 001 100 111 011] ⊕ [100 010 110 110 000 110] = [111 011 111 110 111 111]
| 150 | KHHLTK | LISSIE | TKTSTK | [011 001 001 100 111 011] ⊕ [100 010 110 110 010 000] = [111 011 111 110 111 011]
| 151 | KHHLTK | LISTEL | TKTTTT | [011 001 001 100 111 011] ⊕ [100 010 110 111 000 100] = [111 011 111 111 111 111]
| 152 | KHHLTK | LISTER | TKTTTT | [011 001 001 100 111 011] ⊕ [100 010 110 111 000 101] = [111 011 111 111 111 111]
| 153 | KHHLTK | LISTIE | TKTTTK | [011 001 001 100 111 011] ⊕ [100 010 110 111 010 000] = [111 011 111 111 111 011]
| 154 | KHHLTK | LITERS | TKTLTT | [011 001 001 100 111 011] ⊕ [100 010 111 000 101 110] = [111 011 111 100 111 111]
| 155 | KHHLTK | LITHER | TKTRTT | [011 001 001 100 111 011] ⊕ [100 010 111 001 000 101] = [111 011 111 101 111 111]
| 156 | KHHLTK | LITRES | TKTRTT | [011 001 001 100 111 011] ⊕ [100 010 111 101 000 110] = [111 011 111 101 111 111]
| 157 | KHHLTK | LITTER | TKTTTT | [011 001 001 100 111 011] ⊕ [100 010 111 111 000 101] = [111 011 111 111 111 111]
| 158 | KHHLTK | LITTLE | TKTTTK | [011 001 001 100 111 011] ⊕ [100 010 111 111 100 000] = [111 011 111 111 111 011]
| 159 | KHHLTK | LITTRE | TKTTTK | [011 001 001 100 111 011] ⊕ [100 010 111 111 101 000] = [111 011 111 111 111 011]
| 160 | KHHLTK | REEHER | THHRTT | [011 001 001 100 111 011] ⊕ [101 000 000 001 000 101] = [111 001 001 101 111 111]
| 161 | KHHLTK | REEKER | THHTTT | [011 001 001 100 111 011] ⊕ [101 000 000 011 000 101] = [111 001 001 111 111 111]
| 162 | KHHLTK | REELER | THHLTT | [011 001 001 100 111 011] ⊕ [101 000 000 100 000 101] = [111 001 001 100 111 111]
| 163 | KHHLTK | REESLE | THHSTK | [011 001 001 100 111 011] ⊕ [101 000 000 110 100 000] = [111 001 001 110 111 011]
| 164 | KHHLTK | REESTS | THHSTT | [011 001 001 100 111 011] ⊕ [101 000 000 110 111 110] = [111 001 001 110 111 111]
| 165 | KHHLTK | REETLE | THHTTK | [011 001 001 100 111 011] ⊕ [101 000 000 111 100 000] = [111 001 001 111 111 011]
| 166 | KHHLTK | REHEEL | THHLTT | [011 001 001 100 111 011] ⊕ [101 000 001 000 000 100] = [111 001 001 100 111 111]
| 167 | KHHLTK | REHETE | THHLTK | [011 001 001 100 111 011] ⊕ [101 000 001 000 111 000] = [111 001 001 100 111 011]
| 168 | KHHLTK | REHIRE | THHSTK | [011 001 001 100 111 011] ⊕ [101 000 001 010 101 000] = [111 001 001 110 111 011]
| 169 | KHHLTK | REISER | THKSTT | [011 001 001 100 111 011] ⊕ [101 000 010 110 000 101] = [111 001 011 110 111 111]
| 170 | KHHLTK | REITER | THKTTT | [011 001 001 100 111 011] ⊕ [101 000 010 111 000 101] = [111 001 011 111 111 111]
| 171 | KHHLTK | REKHTI | THKRTK | [011 001 001 100 111 011] ⊕ [101 000 011 001 111 010] = [111 001 011 101 111 011]
| 172 | KHHLTK | REKILL | THKSTT | [011 001 001 100 111 011] ⊕ [101 000 011 010 100 100] = [111 001 011 110 111 111]
| 173 | KHHLTK | REKISS | THKSTT | [011 001 001 100 111 011] ⊕ [101 000 011 010 110 110] = [111 001 011 110 111 111]
| 174 | KHHLTK | RELETS | THRLTT | [011 001 001 100 111 011] ⊕ [101 000 100 000 111 110] = [111 001 101 100 111 111]
| 175 | KHHLTK | RELIER | THRSTT | [011 001 001 100 111 011] ⊕ [101 000 100 010 000 101] = [111 001 101 110 111 111]
| 176 | KHHLTK | RELIES | THRSTT | [011 001 001 100 111 011] ⊕ [101 000 100 010 000 110] = [111 001 101 110 111 111]
| 177 | KHHLTK | RELISH | THRSTK | [011 001 001 100 111 011] ⊕ [101 000 100 010 110 001] = [111 001 101 110 111 011]
| 178 | KHHLTK | RELIST | THRSTT | [011 001 001 100 111 011] ⊕ [101 000 100 010 110 111] = [111 001 101 110 111 111]
| 179 | KHHLTK | REREEL | THRLTT | [011 001 001 100 111 011] ⊕ [101 000 101 000 000 100] = [111 001 101 100 111 111]
| 180 | KHHLTK | RERISE | THRSTK | [011 001 001 100 111 011] ⊕ [101 000 101 010 110 000] = [111 001 101 110 111 011]
| 181 | KHHLTK | RESEEK | THTLTK | [011 001 001 100 111 011] ⊕ [101 000 110 000 000 011] = [111 001 111 100 111 011]
| 182 | KHHLTK | RESEES | THTLTT | [011 001 001 100 111 011] ⊕ [101 000 110 000 000 110] = [111 001 111 100 111 111]
| 183 | KHHLTK | RESELL | THTLTT | [011 001 001 100 111 011] ⊕ [101 000 110 000 100 100] = [111 001 111 100 111 111]
| 184 | KHHLTK | RESETS | THTLTT | [011 001 001 100 111 011] ⊕ [101 000 110 000 111 110] = [111 001 111 100 111 111]
| 185 | KHHLTK | RESHES | THTRTT | [011 001 001 100 111 011] ⊕ [101 000 110 001 000 110] = [111 001 111 101 111 111]
| 186 | KHHLTK | RESILE | THTSTK | [011 001 001 100 111 011] ⊕ [101 000 110 010 100 000] = [111 001 111 110 111 011]
| 187 | KHHLTK | RESIST | THTSTT | [011 001 001 100 111 011] ⊕ [101 000 110 010 110 111] = [111 001 111 110 111 111]
| 188 | KHHLTK | RESITE | THTSTK | [011 001 001 100 111 011] ⊕ [101 000 110 010 111 000] = [111 001 111 110 111 011]
| 189 | KHHLTK | RESTER | THTTTT | [011 001 001 100 111 011] ⊕ [101 000 110 111 000 101] = [111 001 111 111 111 111]
| 190 | KHHLTK | RESTES | THTTTT | [011 001 001 100 111 011] ⊕ [101 000 110 111 000 110] = [111 001 111 111 111 111]
| 191 | KHHLTK | RESTIR | THTTTT | [011 001 001 100 111 011] ⊕ [101 000 110 111 010 101] = [111 001 111 111 111 111]
| 192 | KHHLTK | RESTIS | THTTTT | [011 001 001 100 111 011] ⊕ [101 000 110 111 010 110] = [111 001 111 111 111 111]
| 193 | KHHLTK | RETELL | THTLTT | [011 001 001 100 111 011] ⊕ [101 000 111 000 100 100] = [111 001 111 100 111 111]
| 194 | KHHLTK | RETEST | THTLTT | [011 001 001 100 111 011] ⊕ [101 000 111 000 110 111] = [111 001 111 100 111 111]
| 195 | KHHLTK | RETHER | THTRTT | [011 001 001 100 111 011] ⊕ [101 000 111 001 000 101] = [111 001 111 101 111 111]
| 196 | KHHLTK | RETIER | THTSTT | [011 001 001 100 111 011] ⊕ [101 000 111 010 000 101] = [111 001 111 110 111 111]
| 197 | KHHLTK | RETIES | THTSTT | [011 001 001 100 111 011] ⊕ [101 000 111 010 000 110] = [111 001 111 110 111 111]
